ID,Language_ID,Parameter_ID,Form,Segments,Cognacy,Comment,Source
1,Duhumbi,1sg,ga,g a,101,,
2,Duhumbi,2sg,naŋ,n a ŋ,301,,
3,Duhumbi,3sg,wɔj,w ɔ j,501,,
4,Duhumbi,ant,kʰin-ʨʰɔk,kʰ i n + tɕʰ ɔ k,701,,
5,Duhumbi,armhand,hut,h u t,901,,
6,Duhumbi,ash,ʨʰu-pʰak,tɕʰ u + pʰ a k,1101,,
7,Duhumbi,big,ɔ-dɔk,ɔ + d ɔ k,1301,,
8,Duhumbi,bird,hwa,w̥ a,1501,,
9,Duhumbi,bite,zɛk,z ɛ k,1701,,
10,Duhumbi,bitter,ʨʰak-ba,tɕʰ a k + b a,1901,,
11,Duhumbi,black,u-ʨʰam,u + tɕʰ a m,2101,,
12,Duhumbi,blood,hɔj,h ɔ j,2301,,
13,Duhumbi,bone,ɕa-kʰus,ɕ a + kʰ u s,2501,,
14,Duhumbi,breast,nu,n u,2701,,
15,Duhumbi,toburnit,haj,h a j,2901,,
16,Duhumbi,tocarryonback,bu,b u,3101,,
17,Duhumbi,cloud,mukpa,m u k p a,3301,,
18,Duhumbi,tocryweep,kʰip,kʰ i p,3501,,
19,Duhumbi,todie,i,i,3701,,
20,Duhumbi,todomake,le,l e,3901,,
21,Duhumbi,dog,wa-tʰi,w a + tʰ i,4101,,
22,Duhumbi,drink,ɲiŋ,ɲ i ŋ,4301,,
23,Duhumbi,dry,wa-ar,w a + a r,4501,,
24,Duhumbi,ear,kʰu-tʰuŋ,kʰ u + tʰ u ŋ,4701,,
25,Duhumbi,eat,ʨʰa,tɕʰ a,4901,,
26,Duhumbi,egg,hɔj-ʥɔŋ,h ɔ j + dʑ ɔ ŋ,5101,,
27,Duhumbi,eye,kʰu-m,kʰ u + m,5303,,
28,Duhumbi,far,tʰa-u-ɹiŋ,tʰ a + u + ɹ i ŋ,5501,,
29,Duhumbi,fat,ɔ-jɔw,ɔ + j ɔ w,5701,,
30,Duhumbi,fingernail,hut-ʦun,h u t + ts u n,5901,,
31,Duhumbi,fire,bɛj,b ɛ j,6101,,
32,Duhumbi,fish,ŋa,ŋ a,6301,,
33,Duhumbi,fleshmeat,ɕa,ɕ a,6501,,
34,Duhumbi,tofly,ɕɛɹ,ɕ ɛ ɹ,6701,,
35,Duhumbi,full,pɕiŋ-ba,p ɕ i ŋ + b a,6901,,
36,Duhumbi,togive,ɕi,ɕ i,7101,,
37,Duhumbi,togo,wa,w a,7301,,
38,Duhumbi,good,ɔ-ʥɔp,ɔ + dʑ ɔ p,7501,,
39,Duhumbi,haironhead,kʰu-ɕaŋ,kʰ u + ɕ a ŋ,7701,,
40,Duhumbi,hard,kaktar,k a k t a r,7901,,
41,Duhumbi,head,kʰɔ-lɔk,kʰ ɔ + l ɔ k,8101,,
42,Duhumbi,tohear,ʥas,dʑ a s,8301,,
43,Duhumbi,heavy,u-li,u + l i,8501,,
44,Duhumbi,tohide,uk,u k,8701,,
45,Duhumbi,tokill,at,a t,8901,,
46,Duhumbi,horn,kʰɛŋ,kʰ ɛ ŋ,9101,,
47,Duhumbi,house,wam,w a m,9301,,
48,Duhumbi,in,naŋ,n a ŋ,9501,,
49,Duhumbi,knee,kɔːlɔk-pa,k ɔː l ɔ k + p a,9701,,
50,Duhumbi,toknow,dɛn,d ɛ n,9901,,
51,Duhumbi,tolaugh,ʑɛj,ʑ ɛ j,10101,,
52,Duhumbi,leaf,u-lap,u + l a p,10301,,
53,Duhumbi,legfoot,lɛj,l ɛ j,10501,,
54,Duhumbi,liver,ɕa taŋku,ɕ a + t a ŋ k u,10701,,
55,Duhumbi,long,u-riŋ,u + r i ŋ,10901,,
56,Duhumbi,louse,hɛk,h ɛ k,11101,,
57,Duhumbi,moon,nam-ba,n a m + b a,11301,,
58,Duhumbi,mouth,hɔ-ʨu,h ɔ + tɕ u,11501,,
59,Duhumbi,name,biŋ,b i ŋ,11701,,
60,Duhumbi,navel,bɔː-di,b ɔː + d i,11901,,
61,Duhumbi,neck,hɛn-tʰɔŋ,h ɛ n + tʰ ɔ ŋ,12101,,
62,Duhumbi,new,ɔ-kʰɔn,ɔ + kʰ ɔ n,12301,,
63,Duhumbi,nose,hɛm-pʰɔŋ,h ɛ m + pʰ ɔ ŋ,12501,,
64,Duhumbi,not,ba-,b a,12701,,
65,Duhumbi,oldofthings,ɔ-mɛn,ɔ + m ɛ n,12901,,
66,Duhumbi,one,hin,h i n,13101,,
67,Duhumbi,path,huma,h u m a,13301,,
68,Duhumbi,rain,na-mu,n a + m u,13501,,
69,Duhumbi,red,ɔ-kʰek,ɔ + kʰ e k,13701,,
70,Duhumbi,root,ra-ba,r a + b a,13901,,
71,Duhumbi,torun,dur,d u r,14101,,
72,Duhumbi,salt,ha,h a,14301,,
73,Duhumbi,sand,beʦa,b e ts a,14501,,
74,Duhumbi,tosay,in,i n,14701,,
75,Duhumbi,tosee,aj,a j,14901,,
76,Duhumbi,tosit,ʥu,dʑ u,15101,,
77,Duhumbi,skinhide,ɕa-kʰɔk,ɕ a + kʰ ɔ k,15301,,
78,Duhumbi,tosleep,min,m i n,15502,,
79,Duhumbi,small,ka-ti,k a + t i,15701,,
80,Duhumbi,smoke,bu-kʰu,b u + kʰ u,15901,,
81,Duhumbi,stand,kʰiŋ,kʰ i ŋ,16101,,
82,Duhumbi,star,kaɹma,k a ɹ m a,16301,,
83,Duhumbi,stonerock,luŋ,l u ŋ,16501,,
84,Duhumbi,sun,na-mi,n a + m i,16701,,
85,Duhumbi,sweet,jɔŋ-jɔŋ,j ɔ ŋ + j ɔ ŋ,16901,,
86,Duhumbi,tail,ɲɔj,ɲ ɔ j,17101,,
87,Duhumbi,totake,tʰɔn,tʰ ɔ n,17301,,
88,Duhumbi,thick,ɔ-tʰɛs,ɔ + tʰ ɛ s,17501,,
89,Duhumbi,this,ɔ-ʨʰi,ɔ + tɕʰ i,17701,,
90,Duhumbi,tongue,lɔj,l ɔ j,17901,,
91,Duhumbi,tooth,hin-tuŋ,h i n + t u ŋ,18101,,
92,Duhumbi,water,kʰow,kʰ o w,18301,,
93,Duhumbi,what,a-be,a + b e,18501,,
94,Duhumbi,white,jaŋ-kaɹ,j a ŋ + k a ɹ,18701,,
95,Duhumbi,who,mi,m i,18901,,
96,Duhumbi,wind,nam-suŋ,n a m + s u ŋ,19101,,
97,Duhumbi,wing,pɛmpu,p ɛ m p u,19301,,
98,Duhumbi,woman,ʥu-mu,dʑ u + m u,19501,,
99,Duhumbi,wood,ɕiŋ,ɕ i ŋ,19701,,
100,Duhumbi,yesterday,dɛj-ju,d ɛ j + j u,19901,,
101,Khispi,1sg,ga,g a,101,,
102,Khispi,2sg,naŋ,n a ŋ,301,,
103,Khispi,3sg,wuj,w u j,501,,
104,Khispi,ant,kʰe-ʨʰɔk,kʰ e + tɕʰ ɔ k,701,,
105,Khispi,armhand,hut,h u t,901,,
106,Khispi,ash,ʨʰu-pʰa,tɕʰ u + pʰ a,1101,,
107,Khispi,big,ɔ-dɔk,ɔ + d ɔ k,1301,,
108,Khispi,bird,hwa,w̥ a,1501,,
109,Khispi,bite,zɛk,z ɛ k,1701,,
110,Khispi,bitter,ʨʰak-ba,tɕʰ a k + b a,1901,,
111,Khispi,black,u-ʨʰam,u + tɕʰ a m,2101,,
112,Khispi,blood,hɔj,h ɔ j,2301,,
113,Khispi,bone,ɕa-kʰus,ɕ a + kʰ u s,2501,,
114,Khispi,breast,ɲu,ɲ u,2701,,
115,Khispi,toburnit,haj,h a j,2901,,
116,Khispi,tocarryonback,bu,b u,3101,,
117,Khispi,cloud,tɔŋ-ti,t ɔ ŋ + t i,3302,,
118,Khispi,tocryweep,kʰip,kʰ i p,3501,,
119,Khispi,todie,i,i,3701,,
120,Khispi,todomake,li,l i,3901,,
121,Khispi,dog,wa-tʰi,w a + tʰ i,4101,,
122,Khispi,drink,ɲiŋ,ɲ i ŋ,4301,,
123,Khispi,dry,ɔ-wal,ɔ + w a l,4501,,
124,Khispi,ear,kʰu-tʰuŋ,kʰ u + tʰ u ŋ,4701,,
125,Khispi,eat,ʨʰa,tɕʰ a,4901,,
126,Khispi,egg,ɔ-gɔŋ,ɔ + g ɔ ŋ,5102,,
127,Khispi,eye,kʰu-mɔː,kʰ u + m ɔː,5303,,
128,Khispi,far,tʰa-u-liŋ,tʰ a + u + l i ŋ,5501,,
129,Khispi,fat,ɔ-ju,ɔ + j u,5701,,
130,Khispi,fingernail,hut-ʦin,h u t + ts i n,5901,,
131,Khispi,fire,bej,b e j,6101,,
132,Khispi,fish,ŋa,ŋ a,6301,,
133,Khispi,fleshmeat,ɕa,ɕ a,6501,,
134,Khispi,tofly,ɕɛl,ɕ ɛ l,6701,,
135,Khispi,full,pɕiŋ-ba,p ɕ i ŋ + b a,6901,,
136,Khispi,togive,ɕi,ɕ i,7101,,
137,Khispi,togo,wa,w a,7301,,
138,Khispi,good,nak-pa,n a k + p a,7502,,
139,Khispi,haironhead,kʰu-ɕaŋ,kʰ u + ɕ a ŋ,7701,,
140,Khispi,hard,kaktal,k a k t a l,7901,,
141,Khispi,head,kʰɔ-lɔk,kʰ ɔ + l ɔ k,8101,,
142,Khispi,tohear,kʰa la,kʰ a + l a,8302,,
143,Khispi,heavy,u-li,u + l i,8501,,
144,Khispi,tohide,uk,u k,8701,,
145,Khispi,tokill,at,a t,8901,,
146,Khispi,horn,kʰɛŋ,kʰ ɛ ŋ,9101,,
147,Khispi,house,wam,w a m,9301,,
148,Khispi,in,naŋ,n a ŋ,9501,,
149,Khispi,knee,kɔːlɔk-pa,k ɔː l ɔ k + p a,9701,,
150,Khispi,toknow,dɛn,d ɛ n,9901,,
151,Khispi,tolaugh,ʑej,ʑ e j,10101,,
152,Khispi,leaf,u-lap,u + l a p,10301,,
153,Khispi,legfoot,lej,l e j,10501,,
154,Khispi,liver,ɕap-ɕin,ɕ a p + ɕ i n,10702,,
155,Khispi,long,u-liŋ,u + l i ŋ,10901,,
156,Khispi,louse,hɛk,h ɛ k,11101,,
157,Khispi,moon,nam-ba,n a m + b a,11301,,
158,Khispi,mouth,hɔ-ʨɔ,h ɔ + tɕ ɔ,11501,,
159,Khispi,name,biŋ,b i ŋ,11701,,
160,Khispi,navel,bɔː-di,b ɔː + d i,11901,,
161,Khispi,neck,hɛn-tʰɔŋ,h ɛ n + tʰ ɔ ŋ,12101,,
162,Khispi,new,ɔ-han,ɔ + h a n,12301,,
163,Khispi,nose,hɛm-pʰɔŋ,h ɛ m + pʰ ɔ ŋ,12501,,
164,Khispi,not,ba-,b a,12701,,
165,Khispi,oldofthings,ɔ-mɛn,ɔ + m ɛ n,12901,,
166,Khispi,one,hin,h i n,13101,,
167,Khispi,path,huma,h u m a,13301,,
168,Khispi,rain,na-mu,n a + m u,13501,,
169,Khispi,red,ɔ-hɛk,ɔ + h ɛ k,13701,,
170,Khispi,root,hiŋŋa lej,h i ŋ ŋ a + l e j,13902,,
171,Khispi,torun,dul,d u l,14101,,
172,Khispi,salt,ha,h a,14301,,
173,Khispi,sand,beʦa,b e ts a,14501,,
174,Khispi,tosay,in,i n,14701,,
175,Khispi,tosee,aj,a j,14901,,
176,Khispi,tosit,ʥu,dʑ u,15101,,
177,Khispi,skinhide,ɕa-kʰɔk,ɕ a + kʰ ɔ k,15301,,
178,Khispi,tosleep,min,m i n,15502,,
179,Khispi,small,ɕa-da,ɕ a + d a,15710,,
180,Khispi,smoke,bu-kʰu,b u + kʰ u,15901,,
181,Khispi,stand,kʰiŋ,kʰ i ŋ,16101,,
182,Khispi,star,kalma,k a l m a,16301,,
183,Khispi,stonerock,luŋ,l u ŋ,16501,,
184,Khispi,sun,na-mi,n a + m i,16701,,
185,Khispi,sweet,ɔ-bej-da,ɔ + b e j + d a,16902,,
186,Khispi,tail,ɲuj,ɲ u j,17101,,
187,Khispi,totake,tʰɔn,tʰ ɔ n,17301,,
188,Khispi,thick,ɔ-tʰɛs,ɔ + tʰ ɛ s,17501,,
189,Khispi,this,u-ʨʰi,u + tɕʰ i,17701,,
190,Khispi,tongue,luj,l u j,17901,,
191,Khispi,tooth,ɕin-tuŋ,ɕ i n + t u ŋ,18101,,
192,Khispi,water,kʰaw,kʰ a w,18301,,
193,Khispi,what,a-be,a + b e,18501,,
194,Khispi,white,jaŋ-kal,j a ŋ + k a l,18701,,
195,Khispi,who,mi,m i,18901,,
196,Khispi,wind,nam-suŋ,n a m + s u ŋ,19101,,
197,Khispi,wing,ɲuj-pʰa,ɲ u j + pʰ a,19302,,
198,Khispi,woman,ʥu-mu,dʑ u + m u,19501,,
199,Khispi,wood,hiŋ,h i ŋ,19701,,
200,Khispi,yesterday,di-ju,d i + j u,19901,,
201,Rupa,1sg,gu,g u,101,,
202,Rupa,2sg,naŋ,n a ŋ,301,,
203,Rupa,3sg,wa,w a,501,,
204,Rupa,ant,san-ʥɔk,s a n + dʑ ɔ k,701,,
205,Rupa,armhand,ik,i k,902,,
206,Rupa,ash,ʨʰa-pʰluː,tɕʰ a + pʰ l uː,1101,,
207,Rupa,big,a-dɔk,a + d ɔ k,1301,,
208,Rupa,bird,hu,h u,1501,,
209,Rupa,bite,zɛk,z ɛ k,1701,,
210,Rupa,bitter,ʨʰɐk,tɕʰ ɐ k,1901,,
211,Rupa,black,a-ʨʰũː,a + tɕʰ ũː,2101,,
212,Rupa,blood,haː,h aː,2301,,
213,Rupa,bone,s-kik,s + k i k,2501,,
214,Rupa,breast,ɲyŋ,ɲ y ŋ,2702,,
215,Rupa,toburnit,haː,h aː,2901,,
216,Rupa,tocarryonback,byː,b yː,3101,,
217,Rupa,cloud,s-ty,s + t y,3302,,
218,Rupa,tocryweep,kʰe,kʰ e,3501,,
219,Rupa,todie,iː,iː,3701,,
220,Rupa,todomake,ra,r a,3901,,
221,Rupa,dog,bə-tʰaː,b ə + tʰ aː,4101,,
222,Rupa,drink,liŋ,l i ŋ,4302,,
223,Rupa,dry,ɔ-ɔ̃ː,ɔ + ɔ̃ː,4501,,
224,Rupa,ear,gə-tʰyŋ,g ə + tʰ y ŋ,4701,,
225,Rupa,eat,ʦʰu,tsʰ u,4901,,
226,Rupa,egg,a-juŋ,a + j u ŋ,5103,,
227,Rupa,eye,kʰa-by,kʰ a + b y,5301,,
228,Rupa,far,a-ʨʰɔ̃ː,a + tɕʰ ɔ̃ː,5502,,
229,Rupa,fat,a-jɔː,a + j ɔː,5701,,
230,Rupa,fingernail,ik-ʦiŋ,i k + ts i ŋ,5901,,
231,Rupa,fire,ba,b a,6101,,
232,Rupa,fish,ɲu,ɲ u,6301,,
233,Rupa,fleshmeat,su,s u,6501,,
234,Rupa,tofly,ʨʰan,tɕʰ a n,6701,,
235,Rupa,full,pʰiŋ-ba,pʰ i ŋ + b a,6901,,
236,Rupa,togive,ʨʰi,tɕʰ i,7101,,
237,Rupa,togo,rɔ,r ɔ,7302,,
238,Rupa,good,a-ʥap,a + dʑ a p,7501,,
239,Rupa,haironhead,gə-zaŋ,g ə + z a ŋ,7701,,
240,Rupa,hard,a-ʨu,a + tɕ u,7902,,
241,Rupa,head,kʰ-ruk,kʰ + r u k,8101,,
242,Rupa,tohear,jɔ,j ɔ,8303,,
243,Rupa,heavy,a-liː,a + l iː,8501,,
244,Rupa,tohide,uk,u k,8701,,
245,Rupa,tokill,ɔ,ɔ,8901,,
246,Rupa,horn,kʰɛŋ,kʰ ɛ ŋ,9101,,
247,Rupa,house,jam,j a m,9301,,
248,Rupa,in,a-lyŋ,a + l y ŋ,9502,,
249,Rupa,knee,lə-pʰyk,l ə + pʰ y k,9702,,
250,Rupa,toknow,dan,d a n,9901,,
251,Rupa,tolaugh,zaː,z aː,10101,,
252,Rupa,leaf,a-lap,a + l a p,10301,,
253,Rupa,legfoot,la,l a,10501,,
254,Rupa,liver,a-ʦʰɛ̃ː,a + tsʰ ɛ̃ː,10703,,
255,Rupa,long,a-rɛŋ,a + r ɛ ŋ,10901,,
256,Rupa,louse,hɛk,h ɛ k,11101,,
257,Rupa,moon,nam-blu,n a m + b l u,11301,,
258,Rupa,mouth,nə-ʦʰaw,n ə + tsʰ a w,11501,,
259,Rupa,name,a-zɛŋ,a + z ɛ ŋ,11701,,
260,Rupa,navel,b-raː,b + r aː,11901,,
261,Rupa,neck,tʰuŋ-ʦɛ̃ː,tʰ u ŋ + ts ɛ̃ː,12101,,
262,Rupa,new,a-fan,a + f a n,12301,,
263,Rupa,nose,nə-pʰuŋ,n ə + pʰ u ŋ,12501,,
264,Rupa,not,bə-,b ə,12701,,
265,Rupa,oldofthings,a-man,a + m a n,12901,,
266,Rupa,one,han,h a n,13101,,
267,Rupa,path,ləmu,l ə m u,13301,,
268,Rupa,rain,nə-ʦʰuː,n ə + tsʰ uː,13502,,
269,Rupa,red,ə-hɛk,ə + h ɛ k,13701,,
270,Rupa,root,ə-hĩː,ə + h ĩː,13903,,
271,Rupa,torun,ʨʰaː,tɕʰ aː,14102,,
272,Rupa,salt,hũː,h ũː,14302,,
273,Rupa,sand,mə-kʰɔ,m ə + kʰ ɔ,14502,,
274,Rupa,tosay,am,a m,14701,,
275,Rupa,tosee,ɔː,ɔː,14901,,
276,Rupa,tosit,ʥau,dʑ au,15101,,
277,Rupa,skinhide,s-kuk,s + k u k,15301,,
278,Rupa,tosleep,ʥiŋ,dʑ i ŋ,15501,,
279,Rupa,small,a-ʨan-du,a + tɕ a n + d u,15703,,
280,Rupa,smoke,ba-kʰy,b a + kʰ y,15901,,
281,Rupa,stand,kʰĩː,kʰ ĩː,16101,,
282,Rupa,star,zyk,z y k,16302,,
283,Rupa,stonerock,lýŋ,l ý/y ŋ,16501,,
284,Rupa,sun,nə-nyː,n ə + n yː,16702,,
285,Rupa,sweet,a-ʨĩː,a + tɕ ĩː,16907,,
286,Rupa,tail,a-ɲaː,a + ɲ aː,17101,,
287,Rupa,totake,tʰøː,tʰ øː,17301,,
288,Rupa,thick,a-tʰat,a + tʰ a t,17501,,
289,Rupa,this,tʰwa,tʰ w a,17702,,
290,Rupa,tongue,laː-pʰɔ̃,l aː + pʰ ɔ̃,17901,,
291,Rupa,tooth,tɔkʨʰeː,t ɔ k tɕʰ eː,18102,,
292,Rupa,water,kʰoː,kʰ oː,18301,,
293,Rupa,what,musi aː,m u s i + aː,18502,,
294,Rupa,white,a-zɔ̃ː,a + z ɔ̃ː,18702,,
295,Rupa,who,ɲiː,ɲ iː,18901,,
296,Rupa,wind,nə-sɔm,n ə + s ɔ m,19101,,
297,Rupa,wing,nə-pʰaŋ,n ə + pʰ a ŋ,19302,,
298,Rupa,woman,ʥə-my,dʑ ə + m y,19501,,
299,Rupa,wood,hiŋ,h i ŋ,19701,,
300,Rupa,yesterday,di-jau,d i + j au,19901,,
301,Shergaon,1sg,gu,g u,101,,
302,Shergaon,2sg,naŋ,n a ŋ,301,,
303,Shergaon,3sg,wa,w a,501,,
304,Shergaon,ant,san-ʥɔk,s a n + dʑ ɔ k,701,,
305,Shergaon,armhand,ik,i k,902,,
306,Shergaon,ash,ʨʰa-pʰuː,tɕʰ a + pʰ uː,1101,,
307,Shergaon,big,a-dɔk,a + d ɔ k,1301,,
308,Shergaon,bird,hu,h u,1501,,
309,Shergaon,bite,zɛk,z ɛ k,1701,,
310,Shergaon,bitter,a-ʨʰak,a + tɕʰ a k,1901,,
311,Shergaon,black,a-ʨʰɔ̃ː,a + tɕʰ ɔ̃ː,2101,,
312,Shergaon,blood,haː,h aː,2301,,
313,Shergaon,bone,s-kit,s + k i t,2501,,
314,Shergaon,breast,ɲuŋ,ɲ u ŋ,2702,,
315,Shergaon,toburnit,haː,h aː,2901,,
316,Shergaon,tocarryonback,byː,b yː,3101,,
317,Shergaon,cloud,sin-ty,s i n + t y,3302,,
318,Shergaon,tocryweep,kʰe,kʰ e,3501,,
319,Shergaon,todie,iː,iː,3701,,
320,Shergaon,todomake,ra,r a,3901,,
321,Shergaon,dog,pʰ-tʰaː,pʰ + tʰ aː,4101,,
322,Shergaon,drink,iŋ,i ŋ,4302,,
323,Shergaon,dry,ɔ-ɔ̃ː,ɔ + ɔ̃ː,4501,,
324,Shergaon,ear,kʰə-tʰuŋ-lap,kʰ ə + tʰ u ŋ + l a p,4701,,
325,Shergaon,eat,ʨʰu,tɕʰ u,4901,,
326,Shergaon,egg,kʰlɔm,kʰ l ɔ m,5104,,
327,Shergaon,eye,kʰi-biː,kʰ i + b iː,5301,,
328,Shergaon,far,a-ʨʰɔ̃ː,a + tɕʰ ɔ̃ː,5502,,
329,Shergaon,fat,a-jɔː,a + j ɔː,5701,,
330,Shergaon,fingernail,ik-ʨiŋ,i k + tɕ i ŋ,5901,,
331,Shergaon,fire,ba,b a,6101,,
332,Shergaon,fish,ɲu,ɲ u,6301,,
333,Shergaon,fleshmeat,su,s u,6501,,
334,Shergaon,tofly,ʨʰan,tɕʰ a n,6701,,
335,Shergaon,full,pʰiŋ-ba,pʰ i ŋ + b a,6901,,
336,Shergaon,togive,kʰji,kʰ j i,7101,,
337,Shergaon,togo,ro,r o,7302,,
338,Shergaon,good,a-ʥap,a + dʑ a p,7501,,
339,Shergaon,haironhead,gə-zaŋ,g ə + z a ŋ,7701,,
340,Shergaon,hard,a-ʨu,a + tɕ u,7902,,
341,Shergaon,head,kʰ-ruk,kʰ + r u k,8101,,
342,Shergaon,tohear,jo,j o,8303,,
343,Shergaon,heavy,a-liː,a + l iː,8501,,
344,Shergaon,tohide,uk,u k,8701,,
345,Shergaon,tokill,o,o,8901,,
346,Shergaon,horn,kʰɛŋ,kʰ ɛ ŋ,9101,,
347,Shergaon,house,jam,j a m,9301,,
348,Shergaon,in,a-luŋ,a + l u ŋ,9502,,
349,Shergaon,knee,kʰlɔk-puː,kʰ l ɔ k + p uː,9701,,
350,Shergaon,toknow,dan,d a n,9901,,
351,Shergaon,tolaugh,zaː,z aː,10101,,
352,Shergaon,leaf,a-lap,a + l a p,10301,,
353,Shergaon,legfoot,la,l a,10501,,
354,Shergaon,liver,a-ʨʰĩː,a + tɕʰ ĩː,10703,,
355,Shergaon,long,a-rɛŋ,a + r ɛ ŋ,10901,,
356,Shergaon,louse,hɛk,h ɛ k,11101,,
357,Shergaon,moon,nam-blu,n a m + b l u,11301,,
358,Shergaon,mouth,nə-ʨʰaw,n ə + tɕʰ a w,11501,,
359,Shergaon,name,a-zɛŋ,a + z ɛ ŋ,11701,,
360,Shergaon,navel,bu-ti-muː,b u + t i + m uː,11901,,
361,Shergaon,neck,takraː,t a k r aː,12102,,
362,Shergaon,new,u-fan,u + f a n,12301,,
363,Shergaon,nose,nə-pʰuŋ,n ə + pʰ u ŋ,12501,,
364,Shergaon,not,bə-,b ə,12701,,
365,Shergaon,oldofthings,a-man,a + m a n,12901,,
366,Shergaon,one,han,h a n,13101,,
367,Shergaon,path,ləmu,l ə m u,13301,,
368,Shergaon,rain,ɲi-mi,ɲ i + m i,13501,,
369,Shergaon,red,ə-hɛk,ə + h ɛ k,13701,,
370,Shergaon,root,ra-bɔː,r a + b ɔː,13901,,
371,Shergaon,torun,ʨʰaː,tɕʰ aː,14102,,
372,Shergaon,salt,huŋ,h u ŋ,14302,,
373,Shergaon,sand,beʦɔ,b e ts ɔ,14501,,
374,Shergaon,tosay,am,a m,14701,,
375,Shergaon,tosee,ɔː,ɔː,14901,,
376,Shergaon,tosit,ʥau,dʑ au,15101,,
377,Shergaon,skinhide,s-kuk,s + k u k,15301,,
378,Shergaon,tosleep,ʥin,dʑ i n,15501,,
379,Shergaon,small,a-ʨan-du,a + tɕ a n + d u,15703,,
380,Shergaon,smoke,ba-kʰy,b a + kʰ y,15901,,
381,Shergaon,stand,kʰĩː,kʰ ĩː,16101,,
382,Shergaon,star,ʨʰu-zuk,tɕʰ u + z u k,16302,,
383,Shergaon,stonerock,luŋ,l u ŋ,16501,,
384,Shergaon,sun,nə-niː,n ə + n iː,16702,,
385,Shergaon,sweet,a-ʨĩː,a + tɕ ĩː,16907,,
386,Shergaon,tail,a-ɲaː,a + ɲ aː,17101,,
387,Shergaon,totake,tʰɛː,tʰ ɛː,17301,,
388,Shergaon,thick,a-tʰɛt,a + tʰ ɛ t,17501,,
389,Shergaon,this,tʰa,tʰ a,17702,,
390,Shergaon,tongue,laː,l aː,17901,,
391,Shergaon,tooth,nə-tʰuŋ,n ə + tʰ u ŋ,18101,,
392,Shergaon,water,kʰoː,kʰ oː,18301,,
393,Shergaon,what,mə-raː,m ə + r aː,18502,,
394,Shergaon,white,a-zɔ̃ː,a + z ɔ̃ː,18702,,
395,Shergaon,who,ɲiː,ɲ iː,18901,,
396,Shergaon,wind,nə-sɔm,n ə + s ɔ m,19101,,
397,Shergaon,wing,lə-pʰaŋ,l ə + pʰ a ŋ,19302,,
398,Shergaon,woman,ʥə-mi,dʑ ə + m i,19501,,
399,Shergaon,wood,hiŋ,h i ŋ,19701,,
400,Rahung,1sg,gu,g u,101,,
401,Rahung,2sg,naŋ,n a ŋ,301,,
402,Rahung,3sg,hɛ ~ ʔɛ,h ɛ,501,,
403,Rahung,3sg,hɛ ~ ʔɛ,ʔ ɛ,501,,
404,Rahung,ant,saŋ-ʥɔk,s a ŋ + dʑ ɔ k,701,,
405,Rahung,armhand,ik,i k,902,,
406,Rahung,ash,ʨʰa-pʰluː,tɕʰ a + pʰ l uː,1101,,
407,Rahung,big,a-dɔk,a + d ɔ k,1301,,
408,Rahung,bird,hu,h u,1501,,
409,Rahung,bite,zɛk,z ɛ k,1701,,
