ID,Language_ID,Parameter_ID,Form,Segments,Cognacy,Comment,Source
410,Rahung,bitter,ʨʰak,tɕʰ a k,1901,,
411,Rahung,black,a-ʨʰũː,a + tɕʰ ũː,2101,,
412,Rahung,blood,hɛː,h ɛː,2301,,
413,Rahung,bone,s-kik,s + k i k,2501,,
414,Rahung,breast,nyŋ,n y ŋ,2702,,
415,Rahung,toburnit,hɛː,h ɛː,2901,,
416,Rahung,tocarryonback,byː,b yː,3101,,
417,Rahung,cloud,syn-ty,s y n + t y,3302,,
418,Rahung,tocryweep,ʨʰe,tɕʰ e,3501,,
419,Rahung,todie,iː,iː,3701,,
420,Rahung,todomake,rɛ ~ ra,r ɛ,3901,,
421,Rahung,todomake,rɛ ~ ra,r a,3901,,
422,Rahung,dog,pʰ-tʰɛː,pʰ + tʰ ɛː,4101,,
423,Rahung,drink,liŋ,l i ŋ,4302,,
424,Rahung,dry,ɔ-ɔ̃ː,ɔ + ɔ̃ː,4501,,
425,Rahung,ear,kʰ-tʰyŋ,kʰ + tʰ y ŋ,4701,,
426,Rahung,eat,ʨʰu,tɕʰ u,4901,,
427,Rahung,egg,a-juŋ,a + j u ŋ,5103,,
428,Rahung,eye,kʰa-by,kʰ a + b y,5301,,
429,Rahung,far,a-ʨʰɔ̃ː,a + tɕʰ ɔ̃ː,5502,,
430,Rahung,fat,a-jɔw,a + j ɔ w,5701,,
431,Rahung,fingernail,ik-ʨiŋ,i k + tɕ i ŋ,5901,,
432,Rahung,fire,bɛ,b ɛ,6101,,
433,Rahung,fish,nu,n u,6301,,
434,Rahung,fleshmeat,su,s u,6501,,
435,Rahung,tofly,ʨʰɛm,tɕʰ ɛ m,6701,,
436,Rahung,full,a-pʰiŋ,a + pʰ i ŋ,6901,,
437,Rahung,togive,ʨʰi,tɕʰ i,7101,,
438,Rahung,togo,rɔ,r ɔ,7302,,
439,Rahung,good,a-ʥap,a + dʑ a p,7501,,
440,Rahung,haironhead,gə-zaŋ,g ə + z a ŋ,7701,,
441,Rahung,hard,a-ʨu,a + tɕ u,7902,,
442,Rahung,head,kʰ-ruk,kʰ + r u k,8101,,
443,Rahung,tohear,jɔ̃,j ɔ̃,8303,,
444,Rahung,heavy,a-liː,a + l iː,8501,,
445,Rahung,tohide,uk,u k,8701,,
446,Rahung,tokill,ɔ,ɔ,8901,,
447,Rahung,horn,ʨʰɛŋ,tɕʰ ɛ ŋ,9101,,
448,Rahung,house,jam,j a m,9301,,
449,Rahung,in,a-lyŋ,a + l y ŋ,9502,,
450,Rahung,knee,la-pʰik kʰɔm,l a + pʰ i k + kʰ ɔ m,9702,,
451,Rahung,toknow,dɛn,d ɛ n,9901,,
452,Rahung,tolaugh,zɛː,z ɛː,10101,,
453,Rahung,leaf,a-rap,a + r a p,10301,,
454,Rahung,legfoot,lɛ,l ɛ,10501,,
455,Rahung,liver,a-ʨʰĩː,a + tɕʰ ĩː,10703,,
456,Rahung,long,a-rɛŋ,a + r ɛ ŋ,10901,,
457,Rahung,louse,hɛk,h ɛ k,11101,,
458,Rahung,moon,nam-bru,n a m + b r u,11301,,
459,Rahung,mouth,ʨʰə-ʨʰoː,tɕʰ ə + tɕʰ oː,11501,,
460,Rahung,name,a-ʥɛŋ,a + dʑ ɛ ŋ,11701,,
461,Rahung,navel,b-rɛː,b + r ɛː,11901,,
462,Rahung,neck,pʰ-tʰuŋ,pʰ + tʰ u ŋ,12101,,
463,Rahung,new,a-hɛn,a + h ɛ n,12301,,
464,Rahung,nose,ma-pʰuŋ,m a + pʰ u ŋ,12501,,
465,Rahung,not,bə-,b ə,12701,,
466,Rahung,oldofthings,a-mɛn,a + m ɛ n,12901,,
467,Rahung,one,hɛn,h ɛ n,13101,,
468,Rahung,path,lym,l y m,13301,,
469,Rahung,rain,pʰ-ʨʰu,pʰ + tɕʰ u,13502,,
470,Rahung,red,ə-hɛk,ə + h ɛ k,13701,,
471,Rahung,root,i-hĩː,i + h ĩː,13903,,
472,Rahung,torun,ʨɛː,tɕ ɛː,14102,,
473,Rahung,salt,hũŋ,h ũ ŋ,14302,,
474,Rahung,sand,kʰə-bɔ,kʰ ə + b ɔ,14503,,
475,Rahung,tosay,an,a n,14701,,
476,Rahung,tosee,ɔː,ɔː,14901,,
477,Rahung,tosit,ʥo,dʑ o,15101,,
478,Rahung,skinhide,s-kuk,s + k u k,15301,,
479,Rahung,tosleep,ʥiŋ,dʑ i ŋ,15501,,
480,Rahung,small,ʨɔ̃ː-du,tɕ ɔ̃ː + d u,15703,,
481,Rahung,smoke,ba-kʰy,b a + kʰ y,15901,,
482,Rahung,stand,ʨʰĩː,tɕʰ ĩː,16101,,
483,Rahung,star,ʨʰyŋ-zyk,tɕʰ y ŋ + z y k,16302,,
484,Rahung,stonerock,rýŋ,r ý/y ŋ,16501,,
485,Rahung,sun,nə-miː,n ə + m iː,16701,,
486,Rahung,sweet,ʨĩː,tɕ ĩː,16907,,
487,Rahung,tail,a-nɛʰ,a + n ɛʰ/ɛ,17101,,
488,Rahung,totake,tʰɛn,tʰ ɛ n,17301,,
489,Rahung,thick,a-tʰɛ,a + tʰ ɛ,17501,,
490,Rahung,this,tʰə,tʰ ə,17702,,
491,Rahung,tongue,lɛː,l ɛː,17901,,
492,Rahung,tooth,pʰ-tʰyŋ,pʰ + tʰ y ŋ,18101,,
493,Rahung,water,kʰoː ~ kʰow,kʰ oː,18301,,
494,Rahung,water,kʰoː ~ kʰow,kʰ o w,18301,,
495,Rahung,what,pʰ-ʨʰɔ̃ː waː,pʰ + tɕʰ ɔ̃ː + w aː,18503,,
496,Rahung,white,a-zɔ̃ː,a + z ɔ̃ː,18702,,
497,Rahung,who,miː,m iː,18901,,
498,Rahung,wind,p-søm,p + s ø m,19101,,
499,Rahung,wing,mə-pʰaŋ,m ə + pʰ a ŋ,19302,,
500,Rahung,woman,ʥə-my,dʑ ə + m y,19501,,
501,Rahung,wood,hiŋ,h i ŋ,19701,,
502,Rahung,yesterday,ʥɔ-hɔː ~ ʥoː,dʑ ɔ + h ɔː,19901,,
503,Rahung,yesterday,ʥɔ-hɔː ~ ʥoː,dʑ oː,19901,,
504,Khoitam,1sg,gu,g u,101,,
505,Khoitam,2sg,naŋ,n a ŋ,301,,
506,Khoitam,3sg,wa-ʥi,w a + dʑ i,501,,
507,Khoitam,ant,saŋ-ʥɔk,s a ŋ + dʑ ɔ k,701,,
508,Khoitam,armhand,ik,i k,902,,
509,Khoitam,ash,ʨʰa-pʰluː,tɕʰ a + pʰ l uː,1101,,
510,Khoitam,big,a-dɔk,a + d ɔ k,1301,,
511,Khoitam,bird,hu,h u,1501,,
512,Khoitam,bite,zɛk,z ɛ k,1701,,
513,Khoitam,bitter,ʨʰak,tɕʰ a k,1901,,
514,Khoitam,black,a-ʨʰũː,a + tɕʰ ũː,2101,,
515,Khoitam,blood,hɛː,h ɛː,2301,,
516,Khoitam,bone,sə-kik ~ s-kik,s ə + k i k,2501,,
517,Khoitam,bone,sə-kik ~ s-kik,s + k i k,2501,,
518,Khoitam,breast,nyŋ,n y ŋ,2702,,
519,Khoitam,toburnit,hɛː,h ɛː,2901,,
520,Khoitam,tocarryonback,byː,b yː,3101,,
521,Khoitam,cloud,syŋ-ty,s y ŋ + t y,3302,,
522,Khoitam,tocryweep,ʨʰe,tɕʰ e,3501,,
523,Khoitam,todie,iː,iː,3701,,
524,Khoitam,todomake,rɛ,r ɛ,3901,,
525,Khoitam,dog,pʰ-tʰɛː,pʰ + tʰ ɛː,4101,,
526,Khoitam,drink,liŋ,l i ŋ,4302,,
527,Khoitam,dry,yk-ãː,y k + ãː,4501,,
528,Khoitam,ear,kʰ-tʰyŋ,kʰ + tʰ y ŋ,4701,,
529,Khoitam,eat,ʨʰu,tɕʰ u,4901,,
530,Khoitam,egg,a-juŋ,a + j u ŋ,5103,,
531,Khoitam,eye,kʰa-by,kʰ a + b y,5301,,
532,Khoitam,far,a-ʨʰɔ̃ː,a + tɕʰ ɔ̃ː,5502,,
533,Khoitam,fat,a-jɔː,a + j ɔː,5701,,
534,Khoitam,fingernail,ik-ʦiŋ,i k + ts i ŋ,5901,,
535,Khoitam,fire,bɛ,b ɛ,6101,,
536,Khoitam,fish,nu,n u,6301,,
537,Khoitam,fleshmeat,su,s u,6501,,
538,Khoitam,tofly,ʨʰan,tɕʰ a n,6701,,
539,Khoitam,full,a-pʰiŋ,a + pʰ i ŋ,6901,,
540,Khoitam,togive,ʨʰi,tɕʰ i,7101,,
541,Khoitam,togo,rɔ,r ɔ,7302,,
542,Khoitam,good,a-ʥap,a + dʑ a p,7501,,
543,Khoitam,haironhead,gə-zaŋ,g ə + z a ŋ,7701,,
544,Khoitam,hard,a-ʨu,a + tɕ u,7902,,
545,Khoitam,head,kʰ-ruk,kʰ + r u k,8101,,
546,Khoitam,tohear,jɔ̃,j ɔ̃,8303,,
547,Khoitam,heavy,a-liː,a + l iː,8501,,
548,Khoitam,tohide,uk,u k,8701,,
549,Khoitam,tokill,ɔ,ɔ,8901,,
550,Khoitam,horn,ʨʰɛŋ,tɕʰ ɛ ŋ,9101,,
551,Khoitam,house,jam,j a m,9301,,
552,Khoitam,in,a-lyŋ,a + l y ŋ,9502,,
553,Khoitam,knee,lə-pʰik kʰɔm,l ə + pʰ i k + kʰ ɔ m,9702,,
554,Khoitam,toknow,dɛn,d ɛ n,9901,,
555,Khoitam,tolaugh,zɛː,z ɛː,10101,,
556,Khoitam,leaf,a-rap,a + r a p,10301,,
557,Khoitam,legfoot,lɛ,l ɛ,10501,,
558,Khoitam,liver,sə-sĩː,s ə + s ĩː,10702,,
559,Khoitam,long,a-rɛŋ,a + r ɛ ŋ,10901,,
560,Khoitam,louse,hɛk,h ɛ k,11101,,
561,Khoitam,moon,nam-blu,n a m + b l u,11301,,
562,Khoitam,mouth,ʨʰə-sɔː,tɕʰ ə + s ɔː,11501,,
563,Khoitam,name,a-ʥɛŋ,a + dʑ ɛ ŋ,11701,,
564,Khoitam,navel,b-rɛː,b + r ɛː,11901,,
565,Khoitam,neck,nə-tʰuŋ,n ə + tʰ u ŋ,12101,,
566,Khoitam,new,a-fan,a + f a n,12301,,
567,Khoitam,nose,nə-pʰuŋ,n ə + pʰ u ŋ,12501,,
568,Khoitam,not,bə-,b ə,12701,,
569,Khoitam,oldofthings,a-man,a + m a n,12901,,
570,Khoitam,one,han,h a n,13101,,
571,Khoitam,path,lym,l y m,13301,,
572,Khoitam,rain,nə-ʨʰu,n ə + tɕʰ u,13502,,
573,Khoitam,red,ə-hɛk,ə + h ɛ k,13701,,
574,Khoitam,root,a-hĩː,a + h ĩː,13903,,
575,Khoitam,torun,riŋ,r i ŋ,14103,,
576,Khoitam,salt,huŋ,h u ŋ,14302,,
577,Khoitam,sand,kʰə-pʰɔ,kʰ ə + pʰ ɔ,14503,,
578,Khoitam,tosay,an,a n,14701,,
579,Khoitam,tosee,nũː (-ʨʰi),n ũː,14902,,
580,Khoitam,tosit,ʥɔː,dʑ ɔː,15101,,
581,Khoitam,skinhide,s-kuk,s + k u k,15301,,
582,Khoitam,tosleep,ʥiŋ,dʑ i ŋ,15501,,
583,Khoitam,small,a-ʥan-du,a + dʑ a n + d u,15703,,
584,Khoitam,smoke,ba-kʰy,b a + kʰ y,15901,,
585,Khoitam,stand,ʨʰĩː,tɕʰ ĩː,16101,,
586,Khoitam,star,ʨʰyŋ-zyk,tɕʰ y ŋ + z y k,16302,,
587,Khoitam,stonerock,rýŋ,r ý/y ŋ,16501,,
588,Khoitam,sun,nə-miː,n ə + m iː,16701,,
589,Khoitam,sweet,ʨĩː,tɕ ĩː,16907,,
590,Khoitam,tail,a-nɛʰ,a + n ɛʰ/ɛ,17101,,
591,Khoitam,totake,tʰĩː,tʰ ĩː,17301,,
592,Khoitam,thick,a-tʰɛ,a + tʰ ɛ,17501,,
593,Khoitam,this,tʰɛː,tʰ ɛː,17702,,
594,Khoitam,tongue,lɛː,l ɛː,17901,,
595,Khoitam,tooth,nə-tʰyŋ,n ə + tʰ y ŋ,18101,,
596,Khoitam,water,kʰɔː ~ kʰoː,kʰ ɔː,18301,,
597,Khoitam,water,kʰɔː ~ kʰoː,kʰ oː,18301,,
598,Khoitam,what,a-ti jaː,a + t i + j aː,18504,,
599,Khoitam,white,a-zɔ̃ː,a + z ɔ̃ː,18702,,
600,Khoitam,who,miː,m iː,18901,,
601,Khoitam,wind,ny-sɔm,n y + s ɔ m,19101,,
602,Khoitam,wing,nə-pʰaŋ,n ə + pʰ a ŋ,19302,,
603,Khoitam,woman,ʥə-my,dʑ ə + m y,19501,,
604,Khoitam,wood,hiŋ,h i ŋ,19701,,
605,Khoitam,yesterday,ʥy-jɔː,dʑ y + j ɔː,19901,,
606,Jerigaon,1sg,gu,g u,101,,
607,Jerigaon,2sg,naŋ,n a ŋ,301,,
608,Jerigaon,3sg,wa,w a,501,,
609,Jerigaon,ant,san-ʥɔk,s a n + dʑ ɔ k,701,,
610,Jerigaon,armhand,ik,i k,902,,
611,Jerigaon,ash,ʨʰa-pʰluː,tɕʰ a + pʰ l uː,1101,,
612,Jerigaon,big,a-dɔk,a + d ɔ k,1301,,
613,Jerigaon,bird,hu,h u,1501,,
614,Jerigaon,bite,zɛk,z ɛ k,1701,,
615,Jerigaon,bitter,ʨʰak,tɕʰ a k,1901,,
616,Jerigaon,black,a-ʨʰũː,a + tɕʰ ũː,2101,,
617,Jerigaon,blood,hɛː,h ɛː,2301,,
618,Jerigaon,bone,i-hik,i + h i k,2501,,
619,Jerigaon,breast,nyŋ,n y ŋ,2702,,
620,Jerigaon,toburnit,hɛː,h ɛː,2901,,
621,Jerigaon,tocarryonback,byː,b yː,3101,,
622,Jerigaon,cloud,s-ty,s + t y,3302,,
623,Jerigaon,tocryweep,ʨʰe,tɕʰ e,3501,,
624,Jerigaon,todie,iː,iː,3701,,
625,Jerigaon,todomake,ra,r a,3901,,
626,Jerigaon,dog,pʰ-tʰɛː,pʰ + tʰ ɛː,4101,,
627,Jerigaon,drink,liŋ,l i ŋ,4302,,
628,Jerigaon,dry,yk-ãː,y k + ãː,4501,,
629,Jerigaon,ear,kʰ-tʰyŋ-lɛ,kʰ + tʰ y ŋ + l ɛ,4701,,
630,Jerigaon,eat,ʨʰu,tɕʰ u,4901,,
631,Jerigaon,egg,a-juŋ,a + j u ŋ,5103,,
632,Jerigaon,eye,kʰa-by,kʰ a + b y,5301,,
633,Jerigaon,far,a-ʨʰãː,a + tɕʰ ãː,5502,,
634,Jerigaon,fat,a-jɔː,a + j ɔː,5701,,
635,Jerigaon,fingernail,ik-ʨʰiŋ,i k + tɕʰ i ŋ,5901,,
636,Jerigaon,fire,bɛ,b ɛ,6101,,
637,Jerigaon,fish,nu,n u,6301,,
638,Jerigaon,fleshmeat,su,s u,6501,,
639,Jerigaon,tofly,ʨʰɛn,tɕʰ ɛ n,6701,,
640,Jerigaon,full,a-pʰiŋ,a + pʰ i ŋ,6901,,
641,Jerigaon,togive,ʨʰi,tɕʰ i,7101,,
642,Jerigaon,togo,rɔ,r ɔ,7302,,
643,Jerigaon,good,a-ʥɛ,a + dʑ ɛ,7501,,
644,Jerigaon,haironhead,gə-zaŋ,g ə + z a ŋ,7701,,
645,Jerigaon,hard,a-ʨu,a + tɕ u,7902,,
646,Jerigaon,head,kʰ-ruk,kʰ + r u k,8101,,
647,Jerigaon,tohear,jɔ̃,j ɔ̃,8303,,
648,Jerigaon,heavy,a-liː,a + l iː,8501,,
649,Jerigaon,tohide,uk,u k,8701,,
650,Jerigaon,tokill,ɔ,ɔ,8901,,
651,Jerigaon,horn,ʨʰɛŋ,tɕʰ ɛ ŋ,9101,,
652,Jerigaon,house,jan ~ jɛn,j a n,9301,,
653,Jerigaon,house,jan ~ jɛn,j ɛ n,9301,,
654,Jerigaon,in,a-lyŋ,a + l y ŋ,9502,,
655,Jerigaon,knee,la-pʰyk kriː,l a + pʰ y k + k r iː,9702,,
656,Jerigaon,toknow,dɛn,d ɛ n,9901,,
657,Jerigaon,tolaugh,zɛː,z ɛː,10101,,
658,Jerigaon,leaf,a-lɛ,a + l ɛ,10301,,
659,Jerigaon,legfoot,lɛ,l ɛ,10501,,
660,Jerigaon,liver,sɛ̃j ~ sɛ̃ĩ,s ɛ̃ j,10702,,
661,Jerigaon,liver,sɛ̃j ~ sɛ̃ĩ,s ɛ̃ ĩ,10702,,
662,Jerigaon,long,a-rɛŋ,a + r ɛ ŋ,10901,,
663,Jerigaon,louse,hɛ,h ɛ,11101,,
664,Jerigaon,moon,nam-blu,n a m + b l u,11301,,
665,Jerigaon,mouth,sɔː,s ɔː,11501,,
666,Jerigaon,name,a-ʥɛŋ,a + dʑ ɛ ŋ,11701,,
667,Jerigaon,navel,b-raː,b + r aː,11901,,
668,Jerigaon,new,ə-hɛn,ə + h ɛ n,12301,,
669,Jerigaon,nose,nə-pʰuŋ,n ə + pʰ u ŋ,12501,,
670,Jerigaon,not,bə-,b ə,12701,,
671,Jerigaon,oldofthings,a-mɛn,a + m ɛ n,12901,,
672,Jerigaon,one,hɛn,h ɛ n,13101,,
673,Jerigaon,path,hamu,h a m u,13301,,
674,Jerigaon,rain,nə-ʨʰu,n ə + tɕʰ u,13502,,
675,Jerigaon,red,ə-hɛk,ə + h ɛ k,13701,,
676,Jerigaon,root,i-hĩː,i + h ĩː,13903,,
677,Jerigaon,torun,lɛ ʔikʰɛn,l ɛ + ʔ i kʰ ɛ n,14104,,
678,Jerigaon,salt,huŋ,h u ŋ,14302,,
679,Jerigaon,sand,kʰ-pʰa,kʰ + pʰ a,14503,,
680,Jerigaon,tosay,ɛn,ɛ n,14701,,
681,Jerigaon,tosit,ʥɔː,dʑ ɔː,15101,,
682,Jerigaon,skinhide,s-kuk,s + k u k,15301,,
683,Jerigaon,tosleep,ʥiŋ,dʑ i ŋ,15501,,
684,Jerigaon,small,a-du-du,a + d u + d u,15702,,
685,Jerigaon,smoke,ba-kʰy,b a + kʰ y,15901,,
686,Jerigaon,stand,ʨʰĩː,tɕʰ ĩː,16101,,
687,Jerigaon,star,də-zyk,d ə + z y k,16302,,
688,Jerigaon,stonerock,lýŋ,l ý/y ŋ,16501,,
689,Jerigaon,sun,nə-nyː,n ə + n yː,16702,,
690,Jerigaon,sweet,a-blã,a + b l ã,16902,,
691,Jerigaon,tail,a-nɛʰ,a + n ɛʰ/ɛ,17101,,
692,Jerigaon,totake,tʰøː(n),tʰ øː,17301,,
693,Jerigaon,thick,a-tʰɛ,a + tʰ ɛ,17501,,
694,Jerigaon,this,tʰaː,tʰ aː,17702,,
695,Jerigaon,tongue,lɛː,l ɛː,17901,,
696,Jerigaon,tooth,nə-tʰyŋ,n ə + tʰ y ŋ,18101,,
697,Jerigaon,water,kʰɔː,kʰ ɔː,18301,,
698,Jerigaon,what,mə-tiː ja,m ə + t iː + j a,18504,,
699,Jerigaon,white,a-zãː,a + z ãː,18702,,
700,Jerigaon,who,niː,n iː,18901,,
701,Jerigaon,wind,nə-søn,n ə + s ø n,19101,,
702,Jerigaon,wing,ny-pʰaŋ,n y + pʰ a ŋ,19302,,
703,Jerigaon,woman,ʥə-my,dʑ ə + m y,19501,,
704,Jerigaon,wood,hiŋ,h i ŋ,19701,,
705,Jerigaon,yesterday,dy-jɔː,d y + j ɔː,19901,,
706,Khoina,1sg,gu,g u,101,,
707,Khoina,2sg,naŋ,n a ŋ,301,,
708,Khoina,3sg,laŋ-wa,l a ŋ + w a,501,,
709,Khoina,ant,ʂan-ʥɔk,ʂ a n + dʑ ɔ k,701,,
710,Khoina,armhand,ik,i k,902,,
711,Khoina,ash,ʥɐ-pʰluː,dʑ ɐ + pʰ l uː,1101,,
712,Khoina,big,a-dɔk,a + d ɔ k,1301,,
713,Khoina,bird,fu,f u,1501,,
714,Khoina,bitter,a-ʨʰak,a + tɕʰ a k,1901,,
715,Khoina,black,a-tʂʰũː,a + ʈʂʰ ũː,2101,,
716,Khoina,blood,xaː,x aː,2301,,
717,Khoina,bone,a-xyk,a + x y k,2501,,
718,Khoina,breast,nyŋ,n y ŋ,2702,,
719,Khoina,toburnit,haː,h aː,2901,,
720,Khoina,tocarryonback,byː,b yː,3101,,
721,Khoina,cloud,ɕ-tỹ,ɕ + t ỹ,3302,,
722,Khoina,tocryweep,tʂʰe,ʈʂʰ e,3501,,
723,Khoina,todie,iː,iː,3701,,
724,Khoina,todomake,ra,r a,3901,,
725,Khoina,dog,bə-tʰaː,b ə + tʰ aː,4101,,
726,Khoina,drink,lyŋ,l y ŋ,4302,,
727,Khoina,dry,ɔ-ɔ̃ː,ɔ + ɔ̃ː,4501,,
728,Khoina,ear,ga-tʰyŋ,g a + tʰ y ŋ,4701,,
729,Khoina,eat,ʦʰu,tsʰ u,4901,,
730,Khoina,egg,a-juŋ,a + j u ŋ,5103,,
731,Khoina,eye,ga-by,g a + b y,5301,,
732,Khoina,far,a-ʨʰɔ̃ː,a + tɕʰ ɔ̃ː,5502,,
733,Khoina,fat,a-jɔː,a + j ɔː,5701,,
734,Khoina,fingernail,ik-ʦiŋ,i k + ts i ŋ,5901,,
735,Khoina,fire,ba,b a,6101,,
736,Khoina,fish,nu,n u,6301,,
737,Khoina,fleshmeat,ʂu,ʂ u,6501,,
738,Khoina,tofly,ʦʰɛn,tsʰ ɛ n,6701,,
739,Khoina,full,a-pʰiŋ,a + pʰ i ŋ,6901,,
740,Khoina,togive,ʦʰi,tsʰ i,7101,,
741,Khoina,togo,rɔ,r ɔ,7302,,
742,Khoina,good,a-dʐa,a + d ʐ a,7501,,
743,Khoina,haironhead,gə-ʐaŋ,g ə + ʐ a ŋ,7701,,
744,Khoina,hard,a-xãŋ,a + x ã ŋ,7903,,
745,Khoina,head,mə-tʰɛ̃n,m ə + tʰ ɛ̃ n,8102,,
746,Khoina,tohear,jɔ̃,j ɔ̃,8303,,
747,Khoina,heavy,a-liː,a + l iː,8501,,
748,Khoina,tohide,uk,u k,8701,,
749,Khoina,tokill,ɔ,ɔ,8901,,
750,Khoina,horn,tʂʰajŋ,ʈʂʰ a j ŋ,9101,,
751,Khoina,house,jan,j a n,9301,,
752,Khoina,in,a-lyŋ,a + l y ŋ,9502,,
753,Khoina,knee,ja-pʰyk kraː,j a + pʰ y k + k r aː,9702,,
754,Khoina,toknow,dɛn,d ɛ n,9901,,
755,Khoina,tolaugh,ʐaː,ʐ aː,10101,,
756,Khoina,leaf,a-laʔ,a + l a ʔ,10301,,
757,Khoina,legfoot,la,l a,10501,,
758,Khoina,liver,də-ʨɛ̃ː,d ə + tɕ ɛ̃ː,10703,,
759,Khoina,long,a-rɛŋ,a + r ɛ ŋ,10901,,
760,Khoina,louse,xɛk,x ɛ k,11101,,
761,Khoina,moon,nam-blu,n a m + b l u,11301,,
762,Khoina,mouth,də-ʦʰɛː,d ə + tsʰ ɛː,11501,,
763,Khoina,name,a-ʣɛŋ,a + dz ɛ ŋ,11701,,
764,Khoina,navel,b-raː,b + r aː,11901,,
765,Khoina,neck,nə-tu-xĩː,n ə + t u + x ĩː,12101,,
766,Khoina,new,a-fɛn,a + f ɛ n,12301,,
767,Khoina,nose,nə-pʰuŋ,n ə + pʰ u ŋ,12501,,
768,Khoina,not,bə-,b ə,12701,,
769,Khoina,oldofthings,a-mɛn,a + m ɛ n,12901,,
770,Khoina,one,hɛn,h ɛ n,13101,,
771,Khoina,path,ham,h a m,13301,,
772,Khoina,rain,naː-ʦʰu,n aː + tsʰ u,13502,,
773,Khoina,red,a-xɛk,a + x ɛ k,13701,,
774,Khoina,root,a-xĩː,a + x ĩː,13903,,
775,Khoina,torun,ʦʰɔː,tsʰ ɔː,14102,,
776,Khoina,salt,hũː,h ũː,14302,,
777,Khoina,sand,gə-pʰa,g ə + pʰ a,14503,,
778,Khoina,tosay,ɛn,ɛ n,14701,,
779,Khoina,tosee,nɔ̃ː-ʨʰi,n ɔ̃ː + tɕʰ i,14902,,
780,Khoina,tosit,ʣɔː,dz ɔː,15101,,
781,Khoina,skinhide,ʂ-kʰuk,ʂ + kʰ u k,15301,,
782,Khoina,tosleep,ʣiŋ,dz i ŋ,15501,,
783,Khoina,small,a-ʥãn-du,a + dʑ ã n + d u,15703,,
784,Khoina,smoke,ba-kʰy,b a + kʰ y,15901,,
785,Khoina,stand,tʂʰĩː,ʈʂʰ ĩː,16101,,
786,Khoina,star,dy-ʐyk,d y + ʐ y k,16302,,
787,Khoina,stonerock,lýŋ,l ý/y ŋ,16501,,
788,Khoina,sun,naː-nyː,n aː + n yː,16702,,
789,Khoina,sweet,a-ʦĩː,a + ts ĩː,16907,,
790,Khoina,tail,a-naːʰ,a + n aː,17101,,
791,Khoina,totake,tʰøː,tʰ øː,17301,,
792,Khoina,thick,a-tʰɛ,a + tʰ ɛ,17501,,
793,Khoina,this,tʰaː,tʰ aː,17702,,
794,Khoina,tongue,laː,l aː,17901,,
795,Khoina,tooth,ny-tʰyŋ,n y + tʰ y ŋ,18101,,
796,Khoina,water,kʰɔː,kʰ ɔː,18301,,
797,Khoina,what,mə-tiː ja,m ə + t iː + j a,18504,,
798,Khoina,white,a-zãː,a + z ãː,18702,,
799,Khoina,who,niː,n iː,18901,,
800,Khoina,wind,na-søn,n a + s ø n,19101,,
801,Khoina,wing,ny-pʰaŋ,n y + pʰ a ŋ,19302,,
802,Khoina,woman,ʥə-my,dʑ ə + m y,19501,,
803,Khoina,wood,hiŋ,h i ŋ,19701,,
804,Khoina,yesterday,dy-jɔː,d y + j ɔː,19901,,
805,Dikhyang,1sg,koː,k oː,101,,
806,Dikhyang,2sg,nɔ̃,n ɔ̃,301,,
807,Dikhyang,3sg,oɛ,o ɛ,501,,
808,Dikhyang,ant,ɕi-ɲiŋ,ɕ i + ɲ i ŋ,702,,
