ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source,form_in_source
513,khoitam,bitter,,tɕʰ a k,,,
514,khoitam,black,,a + tɕʰ ũː,,,
515,khoitam,blood,,h ɛː,,,
516,khoitam,bone,,s ə + k i k,,,
517,khoitam,bone,,s + k i k,,,
518,khoitam,breast,,n y ŋ,,,
519,khoitam,toburnit,,h ɛː,,,
520,khoitam,tocarryonback,,b yː,,,
521,khoitam,cloud,,s y ŋ + t y,,,
522,khoitam,tocryweep,,tɕʰ e,,,
523,khoitam,todie,,iː,,,
524,khoitam,todomake,,r ɛ,,,
525,khoitam,dog,,pʰ + tʰ ɛː,,,
526,khoitam,drink,,l i ŋ,,,
527,khoitam,dry,,y k + ãː,,,
528,khoitam,ear,,kʰ + tʰ y ŋ,,,
529,khoitam,eat,,tɕʰ u,,,
530,khoitam,egg,,a + j u ŋ,,,
531,khoitam,eye,,kʰ a + b y,,,
532,khoitam,far,,a + tɕʰ ɔ̃ː,,,
533,khoitam,fat,,a + j ɔː,,,
534,khoitam,fingernail,,i k + ts i ŋ,,,
535,khoitam,fire,,b ɛ,,,
536,khoitam,fish,,n u,,,
537,khoitam,fleshmeat,,s u,,,
538,khoitam,tofly,,tɕʰ a n,,,
539,khoitam,full,,a + pʰ i ŋ,,,
540,khoitam,togive,,tɕʰ i,,,
541,khoitam,togo,,r ɔ,,,
542,khoitam,good,,a + dʑ a p,,,
543,khoitam,haironhead,,g ə + z a ŋ,,,
544,khoitam,hard,,a + tɕ u,,,
545,khoitam,head,,kʰ + r u k,,,
546,khoitam,tohear,,j ɔ̃,,,
547,khoitam,heavy,,a + l iː,,,
548,khoitam,tohide,,u k,,,
549,khoitam,tokill,,ɔ,,,
550,khoitam,horn,,tɕʰ ɛ ŋ,,,
551,khoitam,house,,j a m,,,
552,khoitam,in,,a + l y ŋ,,,
553,khoitam,knee,,l ə + pʰ i k + kʰ ɔ m,,,
554,khoitam,toknow,,d ɛ n,,,
555,khoitam,tolaugh,,z ɛː,,,
556,khoitam,leaf,,a + r a p,,,
557,khoitam,legfoot,,l ɛ,,,
558,khoitam,liver,,s ə + s ĩː,,,
559,khoitam,long,,a + r ɛ ŋ,,,
560,khoitam,louse,,h ɛ k,,,
561,khoitam,moon,,n a m + b l u,,,
562,khoitam,mouth,,tɕʰ ə + s ɔː,,,
563,khoitam,name,,a + dʑ ɛ ŋ,,,
564,khoitam,navel,,b + r ɛː,,,
565,khoitam,neck,,n ə + tʰ u ŋ,,,
566,khoitam,new,,a + f a n,,,
567,khoitam,nose,,n ə + pʰ u ŋ,,,
568,khoitam,not,,b ə,,,
569,khoitam,oldofthings,,a + m a n,,,
570,khoitam,one,,h a n,,,
571,khoitam,path,,l y m,,,
572,khoitam,rain,,n ə + tɕʰ u,,,
573,khoitam,red,,ə + h ɛ k,,,
574,khoitam,root,,a + h ĩː,,,
575,khoitam,torun,,r i ŋ,,,
576,khoitam,salt,,h u ŋ,,,
577,khoitam,sand,,kʰ ə + pʰ ɔ,,,
578,khoitam,tosay,,a n,,,
579,khoitam,tosee,,n ũː,,,
580,khoitam,tosit,,dʑ ɔː,,,
581,khoitam,skinhide,,s + k u k,,,
582,khoitam,tosleep,,dʑ i ŋ,,,
583,khoitam,small,,a + dʑ a n + d u,,,
584,khoitam,smoke,,b a + kʰ y,,,
585,khoitam,stand,,tɕʰ ĩː,,,
586,khoitam,star,,tɕʰ y ŋ + z y k,,,
587,khoitam,stonerock,,r ý/y ŋ,,,
588,khoitam,sun,,n ə + m iː,,,
589,khoitam,sweet,,tɕ ĩː,,,
590,khoitam,tail,,a + n ɛʰ/ɛ,,,
591,khoitam,totake,,tʰ ĩː,,,
592,khoitam,thick,,a + tʰ ɛ,,,
593,khoitam,this,,tʰ ɛː,,,
594,khoitam,tongue,,l ɛː,,,
595,khoitam,tooth,,n ə + tʰ y ŋ,,,
596,khoitam,water,,kʰ ɔː,,,
597,khoitam,water,,kʰ oː,,,
598,khoitam,what,,a + t i + j aː,,,
599,khoitam,white,,a + z ɔ̃ː,,,
600,khoitam,who,,m iː,,,
601,khoitam,wind,,n y + s ɔ m,,,
602,khoitam,wing,,n ə + pʰ a ŋ,,,
603,khoitam,woman,,dʑ ə + m y,,,
604,khoitam,wood,,h i ŋ,,,
605,khoitam,yesterday,,dʑ y + j ɔː,,,
606,jerigaon,1sg,,g u,,,
607,jerigaon,2sg,,n a ŋ,,,
608,jerigaon,3sg,,w a,,,
609,jerigaon,ant,,s a n + dʑ ɔ k,,,
610,jerigaon,armhand,,i k,,,
611,jerigaon,ash,,tɕʰ a + pʰ l uː,,,
612,jerigaon,big,,a + d ɔ k,,,
613,jerigaon,bird,,h u,,,
614,jerigaon,bite,,z ɛ k,,,
615,jerigaon,bitter,,tɕʰ a k,,,
616,jerigaon,black,,a + tɕʰ ũː,,,
617,jerigaon,blood,,h ɛː,,,
618,jerigaon,bone,,i + h i k,,,
619,jerigaon,breast,,n y ŋ,,,
620,jerigaon,toburnit,,h ɛː,,,
621,jerigaon,tocarryonback,,b yː,,,
622,jerigaon,cloud,,s + t y,,,
623,jerigaon,tocryweep,,tɕʰ e,,,
624,jerigaon,todie,,iː,,,
625,jerigaon,todomake,,r a,,,
626,jerigaon,dog,,pʰ + tʰ ɛː,,,
627,jerigaon,drink,,l i ŋ,,,
628,jerigaon,dry,,y k + ãː,,,
629,jerigaon,ear,,kʰ + tʰ y ŋ + l ɛ,,,
630,jerigaon,eat,,tɕʰ u,,,
631,jerigaon,egg,,a + j u ŋ,,,
632,jerigaon,eye,,kʰ a + b y,,,
633,jerigaon,far,,a + tɕʰ ãː,,,
634,jerigaon,fat,,a + j ɔː,,,
635,jerigaon,fingernail,,i k + tɕʰ i ŋ,,,
636,jerigaon,fire,,b ɛ,,,
637,jerigaon,fish,,n u,,,
638,jerigaon,fleshmeat,,s u,,,
639,jerigaon,tofly,,tɕʰ ɛ n,,,
640,jerigaon,full,,a + pʰ i ŋ,,,
641,jerigaon,togive,,tɕʰ i,,,
642,jerigaon,togo,,r ɔ,,,
643,jerigaon,good,,a + dʑ ɛ,,,
644,jerigaon,haironhead,,g ə + z a ŋ,,,
645,jerigaon,hard,,a + tɕ u,,,
646,jerigaon,head,,kʰ + r u k,,,
647,jerigaon,tohear,,j ɔ̃,,,
648,jerigaon,heavy,,a + l iː,,,
649,jerigaon,tohide,,u k,,,
650,jerigaon,tokill,,ɔ,,,
651,jerigaon,horn,,tɕʰ ɛ ŋ,,,
652,jerigaon,house,,j a n,,,
653,jerigaon,house,,j ɛ n,,,
654,jerigaon,in,,a + l y ŋ,,,
655,jerigaon,knee,,l a + pʰ y k + k r iː,,,
656,jerigaon,toknow,,d ɛ n,,,
657,jerigaon,tolaugh,,z ɛː,,,
658,jerigaon,leaf,,a + l ɛ,,,
659,jerigaon,legfoot,,l ɛ,,,
660,jerigaon,liver,,s ɛ̃ j,,,
661,jerigaon,liver,,s ɛ̃ ĩ,,,
662,jerigaon,long,,a + r ɛ ŋ,,,
663,jerigaon,louse,,h ɛ,,,
664,jerigaon,moon,,n a m + b l u,,,
665,jerigaon,mouth,,s ɔː,,,
666,jerigaon,name,,a + dʑ ɛ ŋ,,,
667,jerigaon,navel,,b + r aː,,,
668,jerigaon,new,,ə + h ɛ n,,,
669,jerigaon,nose,,n ə + pʰ u ŋ,,,
670,jerigaon,not,,b ə,,,
671,jerigaon,oldofthings,,a + m ɛ n,,,
672,jerigaon,one,,h ɛ n,,,
673,jerigaon,path,,h a m u,,,
674,jerigaon,rain,,n ə + tɕʰ u,,,
675,jerigaon,red,,ə + h ɛ k,,,
676,jerigaon,root,,i + h ĩː,,,
677,jerigaon,torun,,l ɛ + ʔ i kʰ ɛ n,,,
678,jerigaon,salt,,h u ŋ,,,
679,jerigaon,sand,,kʰ + pʰ a,,,
680,jerigaon,tosay,,ɛ n,,,
681,jerigaon,tosit,,dʑ ɔː,,,
682,jerigaon,skinhide,,s + k u k,,,
683,jerigaon,tosleep,,dʑ i ŋ,,,
684,jerigaon,small,,a + d u + d u,,,
685,jerigaon,smoke,,b a + kʰ y,,,
686,jerigaon,stand,,tɕʰ ĩː,,,
687,jerigaon,star,,d ə + z y k,,,
688,jerigaon,stonerock,,l ý/y ŋ,,,
689,jerigaon,sun,,n ə + n yː,,,
690,jerigaon,sweet,,a + b l ã,,,
691,jerigaon,tail,,a + n ɛʰ/ɛ,,,
692,jerigaon,totake,,tʰ øː,,,
693,jerigaon,thick,,a + tʰ ɛ,,,
694,jerigaon,this,,tʰ aː,,,
695,jerigaon,tongue,,l ɛː,,,
696,jerigaon,tooth,,n ə + tʰ y ŋ,,,
697,jerigaon,water,,kʰ ɔː,,,
698,jerigaon,what,,m ə + t iː + j a,,,
699,jerigaon,white,,a + z ãː,,,
700,jerigaon,who,,n iː,,,
701,jerigaon,wind,,n ə + s ø n,,,
702,jerigaon,wing,,n y + pʰ a ŋ,,,
703,jerigaon,woman,,dʑ ə + m y,,,
704,jerigaon,wood,,h i ŋ,,,
705,jerigaon,yesterday,,d y + j ɔː,,,
706,khoina,1sg,,g u,,,
707,khoina,2sg,,n a ŋ,,,
708,khoina,3sg,,l a ŋ + w a,,,
709,khoina,ant,,ʂ a n + dʑ ɔ k,,,
710,khoina,armhand,,i k,,,
711,khoina,ash,,dʑ ɐ + pʰ l uː,,,
712,khoina,big,,a + d ɔ k,,,
713,khoina,bird,,f u,,,
714,khoina,bitter,,a + tɕʰ a k,,,
715,khoina,black,,a + ʈʂʰ ũː,,,
716,khoina,blood,,x aː,,,
717,khoina,bone,,a + x y k,,,
718,khoina,breast,,n y ŋ,,,
719,khoina,toburnit,,h aː,,,
720,khoina,tocarryonback,,b yː,,,
721,khoina,cloud,,ɕ + t ỹ,,,
722,khoina,tocryweep,,ʈʂʰ e,,,
723,khoina,todie,,iː,,,
724,khoina,todomake,,r a,,,
725,khoina,dog,,b ə + tʰ aː,,,
726,khoina,drink,,l y ŋ,,,
727,khoina,dry,,ɔ + ɔ̃ː,,,
728,khoina,ear,,g a + tʰ y ŋ,,,
729,khoina,eat,,tsʰ u,,,
730,khoina,egg,,a + j u ŋ,,,
731,khoina,eye,,g a + b y,,,
732,khoina,far,,a + tɕʰ ɔ̃ː,,,
733,khoina,fat,,a + j ɔː,,,
734,khoina,fingernail,,i k + ts i ŋ,,,
735,khoina,fire,,b a,,,
736,khoina,fish,,n u,,,
737,khoina,fleshmeat,,ʂ u,,,
738,khoina,tofly,,tsʰ ɛ n,,,
739,khoina,full,,a + pʰ i ŋ,,,
740,khoina,togive,,tsʰ i,,,
741,khoina,togo,,r ɔ,,,
742,khoina,good,,a + d ʐ a,,,
743,khoina,haironhead,,g ə + ʐ a ŋ,,,
744,khoina,hard,,a + x ã ŋ,,,
745,khoina,head,,m ə + tʰ ɛ̃ n,,,
746,khoina,tohear,,j ɔ̃,,,
747,khoina,heavy,,a + l iː,,,
748,khoina,tohide,,u k,,,
749,khoina,tokill,,ɔ,,,
750,khoina,horn,,ʈʂʰ a j ŋ,,,
751,khoina,house,,j a n,,,
752,khoina,in,,a + l y ŋ,,,
753,khoina,knee,,j a + pʰ y k + k r aː,,,
754,khoina,toknow,,d ɛ n,,,
755,khoina,tolaugh,,ʐ aː,,,
756,khoina,leaf,,a + l a ʔ,,,
757,khoina,legfoot,,l a,,,
758,khoina,liver,,d ə + tɕ ɛ̃ː,,,
759,khoina,long,,a + r ɛ ŋ,,,
760,khoina,louse,,x ɛ k,,,
761,khoina,moon,,n a m + b l u,,,
762,khoina,mouth,,d ə + tsʰ ɛː,,,
763,khoina,name,,a + dz ɛ ŋ,,,
764,khoina,navel,,b + r aː,,,
765,khoina,neck,,n ə + t u + x ĩː,,,
766,khoina,new,,a + f ɛ n,,,
767,khoina,nose,,n ə + pʰ u ŋ,,,
768,khoina,not,,b ə,,,
769,khoina,oldofthings,,a + m ɛ n,,,
770,khoina,one,,h ɛ n,,,
771,khoina,path,,h a m,,,
772,khoina,rain,,n aː + tsʰ u,,,
773,khoina,red,,a + x ɛ k,,,
774,khoina,root,,a + x ĩː,,,
775,khoina,torun,,tsʰ ɔː,,,
776,khoina,salt,,h ũː,,,
777,khoina,sand,,g ə + pʰ a,,,
778,khoina,tosay,,ɛ n,,,
779,khoina,tosee,,n ɔ̃ː + tɕʰ i,,,
780,khoina,tosit,,dz ɔː,,,
781,khoina,skinhide,,ʂ + kʰ u k,,,
782,khoina,tosleep,,dz i ŋ,,,
783,khoina,small,,a + dʑ ã n + d u,,,
784,khoina,smoke,,b a + kʰ y,,,
785,khoina,stand,,ʈʂʰ ĩː,,,
786,khoina,star,,d y + ʐ y k,,,
787,khoina,stonerock,,l ý/y ŋ,,,
788,khoina,sun,,n aː + n yː,,,
789,khoina,sweet,,a + ts ĩː,,,
790,khoina,tail,,a + n aː,,,
791,khoina,totake,,tʰ øː,,,
792,khoina,thick,,a + tʰ ɛ,,,
793,khoina,this,,tʰ aː,,,
794,khoina,tongue,,l aː,,,
795,khoina,tooth,,n y + tʰ y ŋ,,,
796,khoina,water,,kʰ ɔː,,,
797,khoina,what,,m ə + t iː + j a,,,
798,khoina,white,,a + z ãː,,,
799,khoina,who,,n iː,,,
800,khoina,wind,,n a + s ø n,,,
801,khoina,wing,,n y + pʰ a ŋ,,,
802,khoina,woman,,dʑ ə + m y,,,
803,khoina,wood,,h i ŋ,,,
804,khoina,yesterday,,d y + j ɔː,,,
805,dikhyang,1sg,,k oː,,,
806,dikhyang,2sg,,n ɔ̃,,,
807,dikhyang,3sg,,o ɛ,,,
808,dikhyang,ant,,ɕ i + ɲ i ŋ,,,
809,dikhyang,armhand,,w a t,,,
810,dikhyang,ash,,s ə + pʰ iə,,,
811,dikhyang,big,,ə + p õː,,,
812,dikhyang,bird,,f uə,,,
813,dikhyang,bite,,kʰ r i k,,,
814,dikhyang,bitter,,ə + kʰ oː,,,
815,dikhyang,black,,ə + s ai,,,
816,dikhyang,blood,,ə + f uɛ,,,
817,dikhyang,bone,,ə + s ɛ ŋ,,,
818,dikhyang,bone,,ə + z ɛ ŋ,,,
819,dikhyang,breast,,ɲ eoː,,,
820,dikhyang,toburnit,,h õːe,,,
821,dikhyang,tocarryonback,,h á n,,,
822,dikhyang,cloud,,s ə + kʰ a + m au,,,
823,dikhyang,tocryweep,,tɕ õ,,,
824,dikhyang,todie,,iː,,,
825,dikhyang,todomake,,r j ɛ t,,,
826,dikhyang,dog,,tɕ ɔi,,,
827,dikhyang,drink,,n a ŋ,,,
828,dikhyang,dry,,ə + k au,,,
829,dikhyang,ear,,kʰ ɔ̃,,,
830,dikhyang,eat,,ts iə,,,
831,dikhyang,egg,,ə + r iː,,,
832,dikhyang,eye,,m iɛ k,,,
833,dikhyang,eye,,m j ɛ k,,,
834,dikhyang,far,,r ɛ ʔ ɛ + r ua ŋ,,,
835,dikhyang,fat,,ə + j ou,,,
836,dikhyang,fingernail,,b ə + s ɛ n,,,
837,dikhyang,fire,,b oːɛ,,,
838,dikhyang,fish,,ũə,,,
839,dikhyang,fleshmeat,,eː + ɕ au,,,
840,dikhyang,fleshmeat,,ə + ɕ au,,,
841,dikhyang,tofly,,m ə + ts o,,,
842,dikhyang,full,,ə + l i + j eː,,,
843,dikhyang,togive,,pʰ i,,,
844,dikhyang,togo,,w uə,,,
845,dikhyang,good,,ə + v iə,,,
846,dikhyang,haironhead,,kʰ a + z i j ɔ ŋ,,,
847,dikhyang,hard,,ə + k ɔ ŋ,,,
848,dikhyang,head,,kʰ r u k,,,
849,dikhyang,tohear,,j ɔi,,,
850,dikhyang,heavy,,ə + l ai,,,
851,dikhyang,tohide,,u k,,,
852,dikhyang,tokill,,uːə,,,
853,dikhyang,horn,,ə + r iɔ ŋ,,,
854,dikhyang,house,,h õ,,,
855,dikhyang,in,,p tɕʰ au,,,
856,dikhyang,knee,,l aː + g j u ŋ,,,
857,dikhyang,toknow,,ĩ t,,,
858,dikhyang,tolaugh,,s j ɔ k,,,
859,dikhyang,leaf,,ə + r a p,,,
860,dikhyang,legfoot,,l oɛ,,,
861,dikhyang,liver,,ə + pʰ i n,,,
862,dikhyang,long,,ə + pʰ j a ŋ,,,
863,dikhyang,moon,,h aː + b ieː,,,
864,dikhyang,mouth,,s ia m,,,
865,dikhyang,name,,ə + b ɛ ŋ,,,
866,dikhyang,navel,,b u + r ui,,,
867,dikhyang,neck,,r a g u ŋ + j u + ŋ ã,,,
868,dikhyang,new,,ə + v ɔ̃,,,
869,dikhyang,nose,,ə + pʰ u ŋ,,,
870,dikhyang,oldofthings,,ə + h ɛ k,,,
871,dikhyang,one,,ts j ɔ̃,,,
872,dikhyang,path,,l ə m uə + d uə,,,
873,dikhyang,rain,,h aː + pʰ iɛ,,,
874,dikhyang,red,,ə + ɕ ɛ k,,,
875,dikhyang,root,,ə + r ə ŋ,,,
876,dikhyang,torun,,r a n,,,
877,dikhyang,salt,,s ə + r uə,,,
878,dikhyang,sand,,b aː l i,,,
879,dikhyang,tosay,,j aː,,,
880,dikhyang,tosee,,g ə + r a k,,,
881,dikhyang,tosit,,d u k,,,
882,dikhyang,skinhide,,eː + kʰ u k,,,
883,dikhyang,tosleep,,m j ɛ n,,,
884,dikhyang,small,,ə + t i + d ua,,,
885,dikhyang,smoke,,b a + kʰ au,,,
886,dikhyang,stand,,ts ai,,,
887,dikhyang,star,,ts aː + t r ɔ ŋ,,,
888,dikhyang,stonerock,,l ə b au,,,
889,dikhyang,sun,,h aː + n ɛi ŋ,,,
890,dikhyang,sweet,,pʰ + j ɛ ŋ,,,
891,dikhyang,tail,,ə + ɲ ui,,,
892,dikhyang,totake,,r i j ə,,,
893,dikhyang,thick,,ə + kʰ l a + b ou,,,
894,dikhyang,tongue,,r yi,,,
895,dikhyang,tooth,,ɕ i ɲ ɛ n,,,
896,dikhyang,water,,kʰ oː,,,
897,dikhyang,what,,ɲ u j aː,,,
898,dikhyang,white,,ə + m au,,,
899,dikhyang,who,,h a + ɲ u,,,
900,dikhyang,wind,,h aː + s aː m,,,
901,dikhyang,wing,,ə + j i k,,,
902,dikhyang,woman,,b ə + m i,,,
903,dikhyang,wood,,h i ŋ,,,
904,dikhyang,yesterday,,d i + j au,,,
905,singchung,1sg,,g o,,,
906,singchung,2sg,,n o,,,
907,singchung,3sg,,oe,,,
908,singchung,ant,,ʃ i ŋ i ŋ,,,
909,singchung,armhand,,w a t,,,
910,singchung,ash,,s + p i j e,,,
911,singchung,big,,e + b oᵘ/o,,,
912,singchung,bird,,f ua,,,
913,singchung,bite,,tʰ o k + m a g e,,,
914,singchung,bitter,,kʰ oᵘ/o,,,
915,singchung,black,,e + s aⁱ/ai,,,
916,singchung,blood,,e + f ua,,,
917,singchung,bone,,e + z e ŋ,,,
918,singchung,breast,,ɲ eoː,,,
919,singchung,toburnit,,ʃ uⁱ/u t,,,
920,singchung,cloud,,s + k ə + m oᵘ/o,,,
921,singchung,tocryweep,,tʃ o + m a + g e,,,
922,singchung,todie,,i + d a,,,
923,singchung,todomake,,r e t + m a + g e,,,
924,singchung,dog,,tʃ i,,,
925,singchung,drink,,kʰ o + ŋ a ŋ,,,
926,singchung,dry,,e + g aᵘ/a,,,
927,singchung,ear,,kʰ õ,,,
928,singchung,eat,,tʃ ə + m u t,,,
929,singchung,egg,,kʰ e + r e,,,
930,singchung,eye,,m i + j a k,,,
931,singchung,far,,r ᵘ/w a ŋ,,,
932,singchung,fat,,e + j u,,,
933,singchung,fingernail,,b ə + s e n,,,
934,singchung,fire,,b oᵉ/o,,,
935,singchung,fish,,ūa,,,
936,singchung,fleshmeat,,e + p i j e,,,
937,singchung,tofly,,kʰ e + m a + g e,,,
938,singchung,full,,l i + j a,,,
939,singchung,togive,,pʰ i + m a g e,,,
940,singchung,togo,,l ua,,,
941,singchung,good,,a + v i j e,,,
942,singchung,haironhead,,kʰ a + z i j a ŋ,,,
943,singchung,head,,kʰ ɾ u k,,,
944,singchung,tohear,,n u + v a + m a + g e,,,
945,singchung,heavy,,l aⁱ/ai,,,
946,singchung,tokill,,w a + m a + g e,,,
947,singchung,horn,,e + r i j a ŋ,,,
948,singchung,house,,h õ,,,
949,singchung,knee,,l ə + s p au,,,
950,singchung,toknow,,tʰ e k + m a + g e,,,
951,singchung,tolaugh,,tʃ i j o,,,
952,singchung,leaf,,e + r a p,,,
953,singchung,legfoot,,l oᵉ/o,,,
954,singchung,long,,pʰ i j a ŋ,,,
955,singchung,moon,,h a + b i j e,,,
956,singchung,mouth,,s + pʰ u n,,,
957,singchung,name,,e + b e ŋ,,,
958,singchung,neck,,e + j ua,,,
959,singchung,new,,o + v oᵘ/o,,,
960,singchung,nose,,e + pʰ u ŋ,,,
961,singchung,oldofthings,,e + h e,,,
962,singchung,one,,dʒ i j o,,,
963,singchung,path,,l ə m ua,,,
964,singchung,rain,,h a + pʰ i j e,,,
965,singchung,red,,e + ʃ ai k,,,
966,singchung,root,,e + r a ŋ,,,
967,singchung,salt,,s u + r u w a,,,
968,singchung,sand,,b a l i,,,
969,singchung,tosay,,j e + m a + g e,,,
970,singchung,tosee,,r ə k + m a + g e,,,
971,singchung,tosit,,d u k + m a,,,
972,singchung,skinhide,,e + kʰ u k,,,
973,singchung,tosleep,,m i j e n + m a + g e,,,
974,singchung,small,,ẽeᵘ/ẽu,,,
975,singchung,smoke,,b oᵉ/o + kʰ aᵘ/a,,,
976,singchung,stand,,r iᵒ/i + m a,,,
977,singchung,star,,s a + d i j o ŋ,,,
978,singchung,stonerock,,l a b aᵘ/a,,,
979,singchung,sun,,h a + n aⁱ/ai,,,
980,singchung,sweet,,pʰ i + j a m,,,
981,singchung,tail,,e + ɲ oⁱ/o,,,
982,singchung,totake,,tʰ a + r i j a + m a + g e,,,
983,singchung,this,,e + h i h i,,,
984,singchung,tongue,,i r i,,,
985,singchung,tooth,,ʃ i n i ŋ,,,
986,singchung,water,,kʰ o,,,
987,singchung,what,,n i w k a,,,
988,singchung,white,,e + m oᵘ/o,,,
989,singchung,who,,h a + n i j u,,,
990,singchung,wind,,h a + s a m,,,
991,singchung,woman,,d i + m i,,,
